sample_idx,output_0,output_1,output_2,output_3,output_4,output_5
0,0.9779466390609741,-0.7610495686531067,1.8438913822174072,-1.505228042602539,1.6920573711395264,-1.2879894971847534
1,0.9778462648391724,-0.7707016468048096,1.8679722547531128,-1.5200831890106201,1.707097053527832,-1.303772211074829
2,0.9671546220779419,-0.7593978643417358,1.8516976833343506,-1.5012476444244385,1.689469814300537,-1.28609037399292
3,0.965615451335907,-0.7563158869743347,1.8485889434814453,-1.489450216293335,1.6707772016525269,-1.268204927444458
4,0.950322687625885,-0.7418811321258545,1.8349313735961914,-1.4604628086090088,1.6408849954605103,-1.2357933521270752
5,0.9340354204177856,-0.7189236879348755,1.8069171905517578,-1.4233429431915283,1.607621669769287,-1.1995030641555786
6,0.9404623508453369,-0.723476231098175,1.804504632949829,-1.421500325202942,1.6029744148254395,-1.1954152584075928
7,0.9347337484359741,-0.7116169929504395,1.7938930988311768,-1.4078997373580933,1.606168270111084,-1.1958138942718506
8,0.9515795707702637,-0.7284305095672607,1.8034249544143677,-1.418906807899475,1.5989283323287964,-1.188610553741455
9,0.9436059594154358,-0.7192840576171875,1.7992732524871826,-1.412482500076294,1.600071668624878,-1.1882131099700928
10,0.9435247778892517,-0.7162685394287109,1.7932790517807007,-1.4069902896881104,1.5972604751586914,-1.1836538314819336
11,0.931005597114563,-0.7050031423568726,1.7841193675994873,-1.3978917598724365,1.5841196775436401,-1.169861912727356
12,0.9328575134277344,-0.7039569020271301,1.77854323387146,-1.3968802690505981,1.5885151624679565,-1.1750962734222412
13,0.9347629547119141,-0.7026200890541077,1.7713372707366943,-1.3893628120422363,1.5761805772781372,-1.1631808280944824
14,0.9350611567497253,-0.70479416847229,1.7723712921142578,-1.3891942501068115,1.569931983947754,-1.1577174663543701
15,0.9340065717697144,-0.7048109769821167,1.7722474336624146,-1.3861182928085327,1.5551528930664062,-1.1412341594696045
16,0.9413946866989136,-0.7137812376022339,1.776008129119873,-1.3934756517410278,1.5467772483825684,-1.1360130310058594
17,0.9397234916687012,-0.7110852599143982,1.7733962535858154,-1.3907005786895752,1.5413826704025269,-1.1281874179840088
18,0.94680255651474,-0.7137852907180786,1.768971562385559,-1.386056900024414,1.545600175857544,-1.1352951526641846
19,0.9313623905181885,-0.6958943009376526,1.7507731914520264,-1.3707417249679565,1.5349783897399902,-1.1224055290222168
20,0.9547600746154785,-0.7185400724411011,1.766885757446289,-1.3893060684204102,1.5572679042816162,-1.151392936706543
21,0.9376580119132996,-0.7021523714065552,1.7530618906021118,-1.37239408493042,1.5414931774139404,-1.1324186325073242
22,0.9645048379898071,-0.7296322584152222,1.7827727794647217,-1.4066683053970337,1.5806398391723633,-1.1755787134170532
23,0.949826717376709,-0.7154859304428101,1.7694910764694214,-1.3877437114715576,1.5572288036346436,-1.1477888822555542
24,0.9555096626281738,-0.7214964628219604,1.7781031131744385,-1.4010391235351562,1.5783655643463135,-1.1708754301071167
25,0.9399183988571167,-0.7051280736923218,1.7594990730285645,-1.3767119646072388,1.5451860427856445,-1.1351256370544434
26,0.9345232248306274,-0.6976197957992554,1.7606420516967773,-1.3789451122283936,1.5748622417449951,-1.1613528728485107
27,0.9399544596672058,-0.7061592936515808,1.7713879346847534,-1.3899455070495605,1.5876941680908203,-1.1761916875839233
28,0.95173579454422,-0.7129476070404053,1.7696876525878906,-1.3912502527236938,1.5911715030670166,-1.1839805841445923
