sample_idx,output_0,output_1,output_2,output_3,output_4,output_5
0,0.962518572807312,-0.7410576343536377,1.8255817890167236,-1.4854506254196167,1.6959447860717773,-1.2903263568878174
1,0.9650821685791016,-0.7556552886962891,1.8565049171447754,-1.5066642761230469,1.7054388523101807,-1.3003623485565186
2,0.9568678140640259,-0.7411874532699585,1.8326373100280762,-1.4784832000732422,1.6809707880020142,-1.2755504846572876
3,0.9518495202064514,-0.7423471212387085,1.8433666229248047,-1.4819639921188354,1.680607557296753,-1.2759864330291748
4,0.9261513352394104,-0.7111352682113647,1.8070178031921387,-1.424767255783081,1.6096973419189453,-1.1992292404174805
5,0.9249954223632812,-0.708130419254303,1.803398847579956,-1.4130756855010986,1.60498046875,-1.1941490173339844
6,0.9316219091415405,-0.7152742147445679,1.8024035692214966,-1.4143468141555786,1.585158109664917,-1.1756510734558105
7,0.9175059795379639,-0.6882026195526123,1.7722125053405762,-1.3804153203964233,1.5814088582992554,-1.1666818857192993
8,0.934451699256897,-0.7124584317207336,1.798500418663025,-1.4065566062927246,1.5874813795089722,-1.174865961074829
9,0.927732527256012,-0.6985560655593872,1.7817742824554443,-1.3876029253005981,1.5770955085754395,-1.1607023477554321
10,0.9338576793670654,-0.7072930932044983,1.7871406078338623,-1.3958079814910889,1.5847543478012085,-1.1701000928878784
11,0.9281012415885925,-0.6946582794189453,1.765432357788086,-1.3766218423843384,1.5711044073104858,-1.1569175720214844
12,0.9821205139160156,-0.7415593862533569,1.7946908473968506,-1.41001296043396,1.6049377918243408,-1.2000521421432495
13,1.0428836345672607,-0.783820629119873,1.8074533939361572,-1.4276702404022217,1.6016418933868408,-1.2086050510406494
14,1.2134265899658203,-0.8863478899002075,1.847332239151001,-1.4708298444747925,1.6729806661605835,-1.3142485618591309
15,1.2578495740890503,-0.8956593871116638,1.8057024478912354,-1.4374923706054688,1.6818338632583618,-1.3365693092346191
16,1.282517671585083,-0.8539729118347168,1.6542264223098755,-1.309327244758606,1.7048723697662354,-1.407491683959961
17,1.2035150527954102,-0.7398285865783691,1.4119915962219238,-1.102899193763733,1.6302980184555054,-1.3615822792053223
18,1.0152926445007324,-0.5181620717048645,0.9548200964927673,-0.7009344100952148,1.5472232103347778,-1.338517665863037
19,0.7447808980941772,-0.19784556329250336,0.23022374510765076,-0.0999806821346283,1.5445687770843506,-1.3802629709243774
20,0.42784592509269714,0.21791133284568787,-0.5040984153747559,0.47853633761405945,1.5160346031188965,-1.503239631652832
21,0.0429961159825325,0.6658322215080261,-0.8530540466308594,0.6964716911315918,1.4484765529632568,-1.5316050052642822
22,-0.5397462844848633,1.1134066581726074,-0.8726441860198975,0.6799189448356628,1.276148796081543,-1.4535325765609741
23,-1.0184006690979004,1.4577795267105103,-0.694756805896759,0.5093832015991211,1.3644492626190186,-1.546851634979248
24,-1.544689655303955,1.8135391473770142,-0.38852620124816895,0.2352418750524521,1.4221320152282715,-1.5663278102874756
25,-2.433892250061035,2.375279426574707,0.4130573570728302,-0.45615652203559875,1.5419466495513916,-1.5652356147766113
26,-3.3356704711914062,2.8097548484802246,1.1985374689102173,-1.2220326662063599,1.6544132232666016,-1.5951831340789795
27,-3.7043395042419434,2.9903383255004883,1.4490985870361328,-1.4923410415649414,1.7020671367645264,-1.6454640626907349
28,-3.4607954025268555,2.845994710922241,1.4171686172485352,-1.428786039352417,1.5559139251708984,-1.461349368095398
29,-2.901625633239746,2.4454801082611084,1.3278453350067139,-1.3237431049346924,1.2540456056594849,-1.0778037309646606
30,-2.458637237548828,2.12329363822937,1.2895468473434448,-1.2391176223754883,0.9891746640205383,-0.7555334568023682
31,-1.9774446487426758,1.7552376985549927,1.1107795238494873,-1.0250879526138306,0.8398375511169434,-0.5965744853019714
